qid,pid,relevance,query_len,doc_len,query_avg_tf,passage_uniq_ratio,query_doc_len_ratio,term_overlap,keyword_density,exact_match,jaccard_similarity,term_overlap_bigram,first_occurrence_rank,tfidf_cosine,bm25_score,idf_sum,avg_idf_of_overlap_terms,tf_idf_sum_overlap,dwell_time_proxy,ctr,pred_score,rank
9660,966000,0,7,52,1.0,0.7692307692307693,0.1320754716981132,6,0.1153846153823964,0,0.1463414634146341,3,0.0,0.605862,0.6940834,35.67406664497461,5.016498407297131,-67.82844145618748,3.970291913552122,0.2,0.5311862,1
9660,966003,1,7,59,1.0,0.6610169491525424,0.1166666666666666,6,0.1016949152525136,0,0.15,3,0.0169491525423728,0.4775211,0.63067347,35.67406664497461,5.016498407297131,-78.2204618087138,4.0943445622221,0.2,0.44660246,2
9660,966004,0,7,58,1.0,0.6551724137931034,0.1186440677966101,6,0.1034482758602853,0,0.1538461538461538,3,0.0,0.48252875,0.6341059,35.67406664497461,5.016498407297131,-77.70593662239912,4.07753744390572,0.2,0.4255195,3
9660,966002,0,7,61,1.0,0.6721311475409836,0.1129032258064516,5,0.0819672131134103,0,0.1162790697674418,0,0.0327868852459016,0.4567432,0.5750913,35.67406664497461,4.44505168554736,-48.06557174556379,4.127134385045092,0.2,-0.15078148,4
9660,966001,0,7,54,1.0,0.5925925925925926,0.1272727272727272,4,0.0740740740727023,0,0.1142857142857142,1,0.074074074074074,0.41215137,0.5253705,35.67406664497461,4.131680916677185,-30.07350829028616,4.007333185232471,0.2,-0.21710706,5
9666,966607,0,4,113,1.0,0.584070796460177,0.0350877192982456,3,0.0265486725661367,0,0.044776119402985,2,0.0442477876106194,0.39904937,1.004864,27.587613993258437,6.962667272796234,-50.28405858288578,4.736198448394496,0.0,0.10243332,1
9666,966606,0,4,102,1.0,0.6666666666666666,0.0388349514563106,3,0.029411764705594,0,0.0434782608695652,1,0.1274509803921568,0.4283464,0.94701064,27.587613993258437,6.962667272796234,-54.36899705707862,4.634728988229636,0.0,-0.22544178,2
9666,966608,0,4,102,1.0,0.6470588235294118,0.0388349514563106,3,0.029411764705594,0,0.044776119402985,1,0.1078431372549019,0.4533305,1.0028087,27.587613993258437,6.962667272796234,-51.51687960684011,4.634728988229636,0.0,-0.2417071,3
9666,966604,0,4,81,1.0,0.6666666666666666,0.048780487804878,2,0.0246913580243865,0,0.0357142857142857,0,0.0123456790123456,0.22481024,0.42858782,27.587613993258437,5.860750749616825,-26.91065526701033,4.406719247264253,0.0,-0.35580042,4
9666,966602,0,4,79,1.0,0.6455696202531646,0.05,3,0.0379746835438231,0,0.0576923076923076,1,0.4683544303797468,0.3191378,0.77156943,27.587613993258437,6.962667272796234,-62.25630715343847,4.382026634673881,0.0,-0.47560272,5
9666,966601,0,4,92,1.0,0.6086956521739131,0.043010752688172,1,0.0108695652172731,0,0.0169491525423728,0,0.2282608695652173,0.14667216,0.41606268,27.587613993258437,7.170828660540676,-17.3761819783425,4.532599493153256,0.0,-0.78263986,6
9666,966603,0,4,90,1.0,0.6,0.0439560439560439,1,0.0111111111109876,0,0.0175438596491228,0,0.5333333333333333,0.07499756,0.2535719,27.587613993258437,7.170828660540676,-25.096535490521354,4.51085950651685,0.0,-0.88885474,7
9666,966605,0,4,92,1.0,0.5978260869565217,0.043010752688172,1,0.0108695652172731,0,0.0172413793103448,0,0.5434782608695652,0.073645845,0.25113213,27.587613993258437,7.170828660540676,-25.254142464745968,4.532599493153256,0.0,-1.0197972,8
9666,966609,0,4,97,1.0,0.5670103092783505,0.0408163265306122,1,0.0103092783504091,0,0.0172413793103448,0,0.5670103092783505,0.07291385,0.24523331,27.587613993258437,7.170828660540676,-25.633639937875387,4.584967478670572,0.0,-1.2713543,9
